first-contentful-paint,first-meaningful-paint,speed-index,total-blocking-time,estimated-input-latency,time-to-first-byte,first-cpu-idle,time-to-interactive,network-rtt,network-requests,dom-size,total-transfer-size,average-transfer-size,median-transfer-size,90th-percentile-transfer-size,95th-percentile-transfer-size,99th-percentile-transfer-size,average-transfer-time,median-transfer-time,90th-percentile-transfer-time,95th-percentile-transfer-time,99th-percentile-transfer-time,number-api-calls,lowest-time-to-widget,median-time-to-widget
32261.123699999942,33842.00357499994,32261.123699999942,2504.619049999994,446.40000000000146,1.568,33842.00357499994,39201.98644999994,0.592,245,9935,7120102,29180.745901639344,363,3485,7597,224751,83.5671352458737,40.152499999689226,204.0789999997668,286.0719999996131,445.9410000002602,244,1483.729,2017.299
32291.048499999986,33713.24579999999,32291.048499999986,2458.999999999978,455.59999999999854,2.144,33713.24579999999,39327.31467499996,0.35235,248,9935,7121052,28830.17004048583,363,3485,7606,224752,82.23117813765649,39.236000000806584,196.39200000014972,286.1080000000951,431.99599999993836,247,1736.698,2177.919
32247.465849999942,33799.69254999994,32247.465849999942,2533.0568499999936,457.59999999999854,1.434,33799.69254999994,39318.38302499993,4.9788,248,9935,7120374,28827.425101214576,363,3485,7606,224751,90.21207287447528,38.267000000051226,285.0599999989327,333.60099999988057,460.3420000003903,247,1631.708,2184.482
32229.74799999992,33749.97649999992,32229.74799999992,2480.0000000000146,440.8000000000029,1.3679999999999999,33749.97649999992,39268.03599999994,0.11775,249,9935,7121097,28714.100806451614,363,3485,7597,224751,78.7360806451719,37.77299999942281,188.12900000036166,278.07900000087,434.14999999981995,248,1543.362,2065.955
32262.90815000001,33705.06130000001,32262.90815000001,2704.5000000000073,487.2000000000015,3.024,33705.06130000001,39451.715100000045,0.105,235,9935,7116133,30410.824786324785,363,3485,8877,224752,83.45052991454634,38.024000000269794,190.41300000034798,296.3689999999201,431.9990000000373,234,1470.576,2006.009
32252.41709999996,33550.08517499996,32252.41709999996,2499.000000000018,420.40000000000293,1.8279999999999998,33550.08517499996,39009.94950000001,0.1202,248,9935,7120786,28829.093117408906,363,3485,7597,224752,80.75282591095058,37.05599999974825,169.3769999999202,310.7059999999782,450.0369999995966,247,1552.334,2035.975
32172.542024999988,33733.306649999984,32172.542024999988,2529.2546249999905,470.40000000000146,1.373,33733.306649999984,39153.61452499996,0.10844999999999999,240,9935,7116533,29776.28870292887,363,3485,8877,224750,80.23530125526467,37.03199999979348,188.1539999991341,295.9779999999981,436.7839999992481,239,1540.706,2100.9045
32231.295299999954,34085.099549999955,32231.295299999954,3057.914249999976,397.8666666666628,1.513,34085.099549999955,39699.68719999993,4.809645000000001,237,9935,7116545,30154.851694915254,363,3485,8877,224751,93.68005932207384,44.847500000036064,263.51799999998144,315.24799999992985,644.318999999618,236,1698.666,2481.407
32241.569250000037,33631.44135000004,32241.569250000037,2147.824249999998,429.2000000000015,1.5530000000000002,33631.44135000004,39260.87117500004,0.2364,253,9935,7122155,28262.51984126984,363,3485,7597,224751,80.56098412697749,38.77649999937686,170.29200000041595,279.6419999998194,440.0859999992951,252,1688.291,2086.601
32164.86727499994,33803.720149999936,32164.86727499994,2546.0269000000153,434.8000000000029,1.618,33803.720149999936,39345.00314999996,0.6270999999999999,249,9935,7121517,28715.79435483871,363,3485,7597,224751,79.69394354839122,36.42149999962706,185.78000000014285,286.19499999958214,440.2989999996783,248,1571.674,2125.828
32262.254150000095,33857.4554000001,32262.254150000095,2595.7954499999905,478.39999999999714,3.759,33857.4554000001,39648.76640000008,0.37170000000000003,237,9935,7116874,30156.245762711864,363,3485,8877,224750,84.01866101692238,36.92449999948553,197.09400000012295,286.0639999997147,451.42899999959207,236,1510.944,2033.075
32157.149099999922,33682.972099999926,32157.149099999922,2553.5,449.6,3.5900000000000003,33682.972099999926,39492.93629999993,0.1326,238,9935,7117207,30030.40928270042,363,3485,8877,224750,93.13825316452835,38.288999999879394,203.1249999996572,326.11400000019756,447.63299999970303,237,1499.99,1861.4814999999999
32147.871775,33820.63315,32147.871775,2592.5,351.4,2.1500000000000004,33820.63315,39639.635750000016,0.10815,248,9935,7120695,28828.724696356276,363,3485,7606,224751,82.72695951414008,39.45500000036985,186.71399999979405,309.0439999993361,459.55599999991506,247,1617.64,2152.924
32241.18514999988,33785.88164999988,32241.18514999988,2502.891749999999,461.20000000000005,1.339,33785.88164999988,39355.22627499989,0.10185000000000001,238,9935,7116687,30028.21518987342,363,3485,8877,224751,83.85660337552204,40.389999998753716,204.5089999999637,303.8140000003682,450.28399999944645,237,1482.603,2049.422
32272.525300000096,33561.2008750001,32272.525300000096,2500.0000000000036,457.19999999999857,1.771,33561.2008750001,39368.105750000104,0.2662,240,9941,7164278,29976.058577405856,363,4631,8877,224751,87.6100418410045,45.52399999971385,188.0780000000666,303.6589999994277,474.2109999996828,239,1553.809,2070.061
32211.967999999884,33722.68039999988,32211.967999999884,2470.415349999992,435.19999999999857,1.4020000000000001,33722.68039999988,39396.22399999986,0.1098,248,9941,7120581,28828.263157894737,363,3485,7606,224752,78.57152631575872,35.305999999328925,198.27799999974633,280.703000000309,447.0270000003141,247,1502.423,1974.286
32211.00777500004,33762.887075000035,32211.00777500004,2413.4357499999787,442.80000000000143,1.338,33762.887075000035,39282.540775,0.19274999999999998,237,9941,7116705,30155.52966101695,363,3485,8877,224750,83.44248728813358,38.476999999963326,221.24299999985496,291.1760000005923,437.0929999995097,236,1522.064,1952.978
