first-contentful-paint,first-meaningful-paint,speed-index,total-blocking-time,estimated-input-latency,time-to-first-byte,first-cpu-idle,time-to-interactive,network-rtt,network-requests,dom-size,total-transfer-size,average-transfer-size,median-transfer-size,90th-percentile-transfer-size,95th-percentile-transfer-size,99th-percentile-transfer-size,average-transfer-time,median-transfer-time,90th-percentile-transfer-time,95th-percentile-transfer-time,99th-percentile-transfer-time,number-api-calls,lowest-time-to-widget,median-time-to-widget
1110,2790.413397277832,3437.587676448781,1991.0000000000023,239.4,2.5829999999999997,4867.000000000002,5053.000000000002,0.06405,159,12492,0,0,0,0,0,0,103.17925316462622,53.60950000011665,309.8829999997995,413.05399999923463,580.5169999996217,158,1849.021,2328.455
1119,2618.5,3342.0232665591643,2015,227.62857142857135,2.5909999999999997,5007,5185.5,0.063,160,12492,0,0,0,0,0,0,102.01290566032921,54.60300000094023,314.0780000003195,419.1579999995413,557.5900000000765,159,1827.123,2317.973
1117,2737.574450354004,3421.4151742104987,1983.5000000000002,243.73333333333335,2.5780000000000003,5029.000000000002,5236.046353875732,0.05475,159,12492,0,0,0,0,0,0,98.57758227850636,55.41550000007142,313.93000000010187,402.4330000001883,477.4920000002431,158,1772.19,2234.318
1088,2440,3386.266318898406,1807.9999999999993,236.19999999999982,2.4779999999999998,4809.999999999999,5003.999999999999,0.05745,159,12492,0,0,0,0,0,0,122.88873417720997,58.98099999942691,384.0339999998308,466.1150000004212,1023.3859999994095,158,1766.43,2359.777
1101,2453.5,3116.490518940675,1867.9999999999998,249.66666666666669,2.77,4844.999999999998,4959.999999999999,0.8999999999999999,158,12492,0,0,0,0,0,0,97.63915384619722,54.64900000046543,330.2160000007056,389.0650000006674,491.14600000069083,156,1765.52,2253.17
1109,2498.8434163513184,3234.987645335826,1872.9999999999995,261.8666666666665,2.695,4809,4944,0.056249999999999994,159,12492,0,0,0,0,0,0,107.13850632908056,51.475999999861465,339.0190000004199,399.42700000003583,690.5159999995454,158,1784.931,2264.479
1097,2424.5,3263.778009880114,1948.500000000001,249.66666666666686,3.074,4764,4908.000000000001,0.0736,159,12492,0,0,0,0,0,0,129.25607594935926,66.6805000002546,386.79099999972743,519.1839999998705,693.017999999672,158,1714.552,2253.628
1096,2434,3180.884921430633,1817.499999999999,239.39999999999984,2.393,4932,5057.5,0.05835,161,12492,0,0,0,0,0,0,97.09517499994931,54.48399999987413,325.9949999996979,382.1650000000955,473.64600000081265,160,1739.464,2235.536
1105,2513.510814666748,3408.432545716758,2017.0000000000002,224.6666666666668,2.415,4984.999999999999,5075,0.0501,160,12492,0,0,0,0,0,0,104.07652830193014,52.553000000010535,339.78600000053115,402.64299999993517,620.1460000005582,159,1861.48,2360.154
1106,2541.6244163513184,3136.4544974820005,1810.999999999999,217.090909090909,2.552,4938,5102.999999999999,0.05204999999999999,160,12492,0,0,0,0,0,0,110.03038993712298,55.23100000046147,345.3079999994908,406.3730000000763,497.7800000009133,159,1835.703,2323.065
