first-contentful-paint,first-meaningful-paint,speed-index,total-blocking-time,estimated-input-latency,time-to-first-byte,first-cpu-idle,time-to-interactive,network-rtt,network-requests,dom-size,total-transfer-size,average-transfer-size,median-transfer-size,90th-percentile-transfer-size,95th-percentile-transfer-size,99th-percentile-transfer-size,average-transfer-time,median-transfer-time,90th-percentile-transfer-time,95th-percentile-transfer-time,99th-percentile-transfer-time,number-api-calls,lowest-time-to-widget,median-time-to-widget
196,2327.079459890747,3568.7355919954543,2924.5,269.99999999999983,3.333,5071.000000000001,5272.41725,0.07095,158,12518,0,0,0,0,0,0,102.38187261147031,54.611000000006285,301.302999998515,401.4590000008619,472.5579999985406,157,1846.151,2307.247
177,2276.6008242034914,3361.2400307828875,2997.5,265.20000000000016,3.561,5043.999999999998,5259.475099999999,0.0609,156,12518,0,0,0,0,0,0,125.47882580630925,57.8129999998589,386.6799999981038,435.72199999784306,732.1820000042774,155,1773.046,2285.703
177,2041.5,3226.834663124344,2863.999999999999,260.3333333333333,2.827,4878.999999999999,4991.999999999998,0.0945,157,12518,0,0,0,0,0,0,103.43959615398938,56.2209999977065,344.9289999989292,401.2570000016589,475.3969999980046,156,1797.28,2304.704
490.604472503662,2091.510824203491,3290.566545038918,2679.395527496337,270.26666666666677,3.488,5164.999999999998,5219.999999999999,0.0633,158,12518,0,0,0,0,0,0,110.98965605113585,58.59100000107708,369.17000000336253,417.38299999866285,638.6719999972843,157,1813.465,2304.667
485.59667250366203,2247.199559890747,3437.507613870609,2461.4033274963385,259.80000000000007,3.0390000000000006,4793.000000000001,5026.795754602052,0.8999999999999999,157,12518,0,0,0,0,0,0,99.064941935606,55.72799999791361,344.00100000170875,393.782000003411,460.7719999988114,155,1811.145,2273.66
186,2023.5,3287.311778419461,2953.499999999999,270.6,3.0300000000000002,5033.999999999999,5116.499999999999,0.06359999999999999,158,12518,0,0,0,0,0,0,104.23587898106781,56.325000002850544,349.9189999994959,402.12299999927285,610.2059999963636,157,1781.137,2269.621
191,2369.455724203491,3422.4280195057627,2770.5,282.73333333333346,3.2929999999999997,5038,5295.86225,0.0579,161,12518,0,0,0,0,0,0,100.89972499998086,58.154999998219424,327.0400000008091,384.1049999970023,439.22100000042167,160,1760.791,2246.901
175,2304.627954498291,3364.658059944135,3029.9999999999995,231.0571428571427,2.492,5178,5262.5,0.08625,157,12518,0,0,0,0,0,0,106.94833333314556,58.53550000026857,323.8239999988689,380.43699999990247,540.8029999985501,156,1822.418,2316.349
187,2234.837459890747,3383.4775477415915,2885,255.66666666666669,2.706,5053,5175.582454602051,0.0678,158,12518,0,0,0,0,0,0,101.36183439473766,55.08900000079372,322.12100000273904,398.7749999991688,464.1919999986519,157,1775.386,2229.838
184,2069.5,3258.7693745659194,2880.5,259.13333333333355,3.3859999999999997,4957.000000000001,5074.5,0.1379,157,12518,0,0,0,0,0,0,104.54417948721805,56.335999999490795,334.55100000012783,395.0920000026389,486.4740000020568,156,1766.924,2202.19
184,2136,3491.4700675376585,2967.5000000000005,283.8666666666667,3.449,5105,5247,0.053,157,12518,0,0,0,0,0,0,116.71276923062018,57.27100000087964,376.23600000028847,404.0640000011008,838.0699999967054,156,1785.028,2240.848
